Core --> ,O,I,K,B,J,G,C,F,Q,J,D,Q,K,G,O,D,K,A,E,Q,J,L,F,,,,,,,
Scientists --> ,Chelsea & Gwen,Eli & Zaki,Carter & Jake,Mariana & Sofia,David & Zack,Gaya & Mia,Ruihan & Aidan,Sarah & Ytien,Sofi & Sage,Alex & Ben,Emily & Winnie,Safiya & Sonia,John & Mae,Molly & Katie,Isaac & Armani,Teo & Michael,Kylie & Abby,Wilson & Daniel,David & Jeffrey,Emery & Nathaniel,Sumedha & Ishara,"Sana, Frankie, Ezria",Astrid & Meredith,,,,,,,
Location--> ,Hillside Pond,Hillside Pond,Hillside Pond,Heath School,Hillside Pond,Hillside Pond,Heath School,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,,,,,,,
Species --> ,Pine,Oak,Pine,Oak,Oak,Oak,Oak,Oak,Pine,Oak,Oak,Pine,Pine,Oak,Pine,Oak,Pine,Oak,Oak,Pine,Oak,Pine,Oak,,,,,,,
Year,Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Measurement (mm),Ring Thickness (mm),Measurement (mm),Ring Thickness (mm),Measurement (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),"AVG (oak, hillside pond",Total Rainfall - Yearly (meters),10 yr avg thickness,10 yr avg rainfall,Temperature Anomaly (Yearly Average temperature compared to 1961-1990),10 yr avg temperature anomoly,Total CO2 concentration (ppm)
2022,2,1,9,0.5,1,4,0.5,1,7,1,1,1.5,2,1,2,1,2,2,1,1,0,5,1,1.25,,1.73,1.242262072,,,
2021,4,6,6,0.5,1,3,1,1,4,2,1,1.5,4,2,2,2,5,1,1,1,1,2,1,1.833333333,,,,,,415.52
2020,3,4,2,1.2,2,2,0.5,2,2.5,1.5,2,3,3,2,2,1.5,2,1,1,1.2,0.7,5,3,1.891666667,1.17051489,,,1.933542958,1.240432202,414.348
2019,3,2,1,3.8,2,2,1,3,3.5,1.5,2,3,3,1,2,2,1,1,1,3,1.8,2,5,2.025,1.39860945,,,0.8893831333,,411.739
2018,2,2,1,4.1,1,2,1.5,3,4,1,2,3,6,3,1,1,3,1,1,3,2,4,4,1.916666667,1.555659,,,1.242933025,,408.71
2017,2,2,2,1.9,1,1,1.5,1,3.5,1,2,2,2,4,1,1.2,2,1,1,4,1,2,1,1.433333333,1.27064657,,,1.342831658,,406.879
2016,4,1,2,3.5,1,3,1,1,5.5,1.5,1,5,2,2,1,1,3,2,1,4,0.5,3,1,1.333333333,1.00693398,,,1.663184892,,404.459
2015,4,2,3,2.7,1,1,1,2,3.5,3.5,2,4,1,5,2,1,1,1,1,3,1.5,3,4,2.083333333,1.11034232,,,0.7664784158,,400.982
2014,4,1,3,1.3,4,5,1,1,3,0.25,1,4.5,2,2,2,2,2,1,1,5,0.7,7,1,1.6625,1.32458605,,,0.24006515,,398.927
2013,4,1,5,0.5,0,5,1.5,3,5.5,0.75,2,3.5,2,1,2,2.1,2,2,0.8,5,1.8,3,3,1.870833333,1.21496135,,,0.8065940083,,396.846
2012,3,1,4,0.5,1,3,1.5,2,6,0.75,2,4,3,5,2,2,1.5,1,1.2,4,1,3,2,1.829166667,1.12810504,1.6425,1.282139622,2.259777117,,394.09
2011,2,2,3,9.5,1,2,1,1,6,1.25,1,6,3,2,3.5,1.2,2.5,1,1,3,1,3,4,1.5375,1.54534281,,,1.259531667,,391.967
2010,4,2,3,4,2,3,1.5,2,2,0.25,3,5,4,2,2.5,1.3,3.5,2,0.5,2,0.5,4,4,1.879166667,1.1655328,,,1.451125233,0.7321728067,390.236
2009,2,1,3,3,1,1,1,2,3.5,0.75,2,5,5,1,2,1,4.5,2,1.5,3,0.2,3,1,1.204166667,1.30113381,,,0.2707493875,,387.785
2008,3,5,3,5.5,1,1,1.5,2,2,1,2,3,3,2,1.5,1,4.5,1,0.4,3,0.3,1,2,1.558333333,1.46134155,,,0.7253160017,,385.977
2007,2,1,3,3.5,1,2,1,2,3,1.5,3,3,3,1,2.5,1.1,2.5,1,1,4,1,2,3,1.55,1.12368981,,,0.5626108742,,384.141
2006,2,1,2,4.5,1,2,1.5,2,3.5,1,2,2,3,2,1.5,1.3,3.5,1,1,4,0.5,5,5,1.65,1.34853232,,,1.462997583,,382.272
2005,2,2,3,3.5,1,3,1,4,4.5,1.5,2,3.5,3,1,1.5,1,3.5,2,1,4,0.5,2,5,2,1.28183616,,,0.6277374083,,380.094
2004,1,2,4,4.5,1,2,0.5,2,4,1,2,4,4,2,2.5,2,2.75,2,1.5,5,2,4,2,1.791666667,1.19704904,,,0.1314399125,,377.837
2003,1,1,4,4.9,1,2,1.5,1,4.5,0.5,1,3.5,1.5,1,1.5,2.1,3.25,2,1,6,0.5,4,4,1.425,1.35508065,,,-0.1023870667,,376.079
2002,1,3,4,4.6,1,2,0.5,5,5,1,2,5,2.5,2,2,1.7,2.5,1,1,6,1,2,6,2.225,1.19589185,1.926666667,1.173022905,1.182168817,,373.502
2001,2,2,6,6.5,1,3,1,2,6,0.5,1,4.5,4,1,3,1.3,2.5,0.7,1.1,3,1,5,7,1.8,1.01628751,,,1.009969917,,371.447
2000,1,3,3,5.5,1,1,2,2,4,0.5,1,0.5,4,2,2,1.5,3,0.7,1,4,0.5,5,3,1.433333333,1.26539523,,,0.1467287833,0.3464380165,369.813
1999,2,1,4,4.5,1,1,1,3,5,0.5,2,4,4,2,2,1,5,1,1,1,0.5,2,3,1.416666667,1.15224301,,,1.258038558,,368.734
1998,1,6,3,5,1,4,2,2,5.5,1,2,6,6,1,2,1.2,4.5,1,0.8,2,1,4,6,2.25,1.29882261,,,1.415839163,,366.911
1997,2,1,4,3.5,1,2,1,3,5.5,2,1,5,3,3,2,1,5.5,1.1,1,2,1.5,2,2,1.633333333,1.01270466,,,-0.02881147833,,363.937
1996,2,2,3,4.2,1,2,1,1,5,0.5,4,4,4,2,1,1,3.5,1,0.5,3,0.5,4,8,1.958333333,1.48588878,,,-0.2112976275,,362.949
1995,2,2,3,2.9,1,1,1.5,6,6,0.5,2,5,3,2,1,0.9,3.5,1.1,0.7,2,0.5,3,8,2.141666667,1.03362367,,,0.3348231167,,361.119
1994,2,2,1,0.6,1,1,0.5,5,4.5,1,1,5,4,2,1,1.1,3,1,0.5,2,1,2,11,2.3,1.20267228,,,0.0346849175,,359.076
1993,4,4,4,0.2,1,2,1,3,5,1.5,2,5,4,3,1,1.4,4,1,1.1,1,0.3,4,5,2.108333333,1.11843786,,,-0.08968835908,,357.402
1992,2,3,3,10.1,1,2,1,2,3.5,0.5,1,6,2,2,1.5,1.6,4,2,1,1,0.2,4,11,2.275,1.1212845,2.508484848,1.209022615,-0.50528605,,356.845
1991,2,2,3,4,2,1,0.5,5,3,7.5,2,4.5,2,2,1.5,1.7,3,2,1.5,1,0.3,3,13,3.333333333,1.18250641,,,1.109349142,,355.935
1990,1,10,5,4,11,3,0.5,1,4,1.5,1,5.5,3,2,2,1.7,1,1,2,3,0.4,4,1,2.966666667,1.26999757,,,1.1413345,0.1701790769,354.588
1989,3,3,6,3.3,5,2,2,2,7,1.5,1,3,3,2,1,2,4,1,2,1,0.3,4,10,2.65,1.36572112,,,-0.2574451158,,353.4
1988,2,3,5,2.7,5,2,1.5,2,5,1.5,1,4,3,1,1.5,2,3,0.7,1.8,1,0.5,5,16,3.041666667,1.07578949,,,-0.082187984,,351.824
1987,4,4,4,2,7,1,1.5,2,5,1.5,2,3,5,3,2,1.6,3,1,1.1,1,1,4,,2.290909091,1.10146605,,,0.037550125,,349.438
1986,4,3,3,3,4,2,1,3,3.5,0.5,2,5,6,2,2.5,2.2,5,0.7,1.1,1,0.5,5,,1.909090909,1.20808342,,,0.0989679,,347.759
1985,4,4,4,4,4,2,1.5,2,4.5,2,1,7,5,1,2,3,5.5,1,1.2,1,1.5,3,,2.063636364,1.03575392,,,0.1563221833,,346.537
1984,5,4,1,8,4,2,0.5,1,4.5,1,3,5,2,2,3,2.4,4.5,0.7,1.3,2,2,2,,2.127272727,1.2637223,,,0.36966357,,345.01
1983,6,3,1,5.5,4,2,1,2,4.5,2.5,6,4,3,1,2,2,3,1,1.2,1,2,1,,2.427272727,1.52535528,,,0.5506505,,343.285
1982,4,4,1,6.5,3,4,2,2,3.5,1.5,4,4.5,2,4,2,1.7,4,1.1,4,2,2,3,,2.845454545,1.1495687,2.563636364,1.212379159,-0.2546919167,,341.752
1981,3,3,2,6,4,3,1.5,2,3,2,4,4,4,2,2,1.3,3,1.1,1.3,3,2,5,,2.336363636,1.05818026,,,-0.05837299275,,340.295
1980,4,3,1,9,3,10,1.5,3,4,2,3,4.5,1,2,1,4,3,1,1.7,1,2,3,,3.154545455,0.90579224,,,-0.2154385167,-0.05701658017,338.956
1979,5,3,2,1,3,6,1,2,4.5,2,3,3,2,2,1.5,3.8,1,1,1.2,1,2,3,,2.636363636,1.39257015,,,0.1954780325,,336.989
1978,6,3,4,4.5,2,4,1.5,3,4.5,1,3,3,2,3,1.5,2.3,2,1,1.8,1,2,1,,2.372727273,1.08811992,,,-0.7754973,,335.631
1977,5,3,5,5.5,4,4,1.5,4,4.5,1.5,4,4,1,1,1.5,3,1,1,1.6,1,2,2,,2.645454545,1.35138218,,,-0.007499080833,,334.007
1976,6,4,6,5,2,2,1.5,2,3.5,0.5,5,4,3,4,2.5,3.3,2,1,1.4,1,1,,,2.381818182,1.08426983,,,-0.3295530583,,332.254
1975,6,3,5,4,3,3,1.5,3,3,3.5,3,5,2,3,4.5,3,3,1,1,0.5,1,,,2.5,1.40130517,,,0.5055447275,,331.339
1974,5,3,2,7,2,5,1,2,2.5,2,3,5.5,5,2,4.5,3.5,6,1.2,2.5,0.5,2,,,2.563636364,1.11706809,,,0.1197062967,,330.441
1973,3,3,2,9,2,3,1.5,1,2.5,2.5,3,2.5,2,2,4,4.6,6,1.1,1.5,1,0.5,,,2.2,1.27966909,,,0.7041319558,,329.933
1972,,3,3,,1,2,1.5,1,4.5,2,3,3,5,3,6,4.8,4,1,1.2,0.5,0.5,,,2.045454545,1.50824512,2.359,1.058269807,-0.6147363,,326.502
1971,,3,5,,2,3,1.5,3,3,2.5,3,2.5,3,2,4.5,4.2,2,1,1.2,0.5,1,,,2.354545455,1.02280688,,,-0.1523025583,,325.904
1970,,,3,,3,3,0.5,3,4.5,1.5,2,2.5,6,2,3.5,4,5,1,1.1,1,1,,,2.16,1.05983254,,,-0.2648977083,-0.44048474,324.85
1969,,,1,,2,2,1,2,,3.5,3,2,8,2,4,4.4,6,1,0.8,,2,,,2.27,1.21080142,,,-0.1393669561,,323.239
1968,,,2,,1,4,1.5,2,,0.5,4,2.5,2,1,6,2.6,4,2,1.5,,1,,,1.96,1.08126231,,,-0.4307428383,,322.348
1967,,,3,,3,5,1.5,3,,2,,3,2,1.5,3,4.2,2,1,1.5,,1,,,2.466666667,1.18250285,,,-0.8076161042,,321.562
1966,,,2,,1,3,1,3,,1,,3,1,1.5,6,2.3,3,2,1.8,,2,,,1.955555556,0.9363945,,,-0.3525354329,,320.214
1965,,,1,,1,4,2,4,,2,,,2,1.5,6,3,2.5,2,1.2,,2,,,2.3,0.7330169,,,-0.67760955,,319.901
1964,,,2,,3,3,1.5,4,,2,,,3,4.5,5,3.4,2.5,2,1,,2,,,2.766666667,0.89296696,,,-0.272173105,,319.249
1963,,,2,,3,4,1.5,4,,4.5,,,2,5,2,4.8,2,2,0.5,,2,,,3.311111111,0.92952332,,,-0.624631495,,318.581
1962,,,3,,2,5,1,2,,1.5,,,2,5,2,,2,1.5,0.6,,1,,,2.325,1.08361508,2.245,1.160520508,-0.6832100217,,317.862
1961,,,3,,3,4,2,2,,1.5,,,1,5,3,,4,1.5,3.5,,1,,,2.6875,1.12622451,,,-0.1520641883,,317.173
1960,,,4,,3,2,0.5,3,,2.5,,,5,6,,,6,1,1,,1,,,2.4375,1.1777338,,,-0.1306341108,0.2177675106,316.138
1959,,,5,,5,3,2,2,,2.5,,,5,6,,,3,2,0.5,,1,,,2.75,1.20107012,,,0.261612475,,315.232
1958,,,3,,2,2,1.5,1,,2,,,5,4,,,3,2,1,,2,,,2,1.27244882,,,-0.7419618167,,
1957,,,3,,2,3,2,1,,3,,,1,8,,,4,2,1,,3,,,2.875,0.86094701,,,0.4586322733,,
1956,,,3,,1,4,1,3,,1.5,,,4,7,,,3,1,1,,1,,,2.4375,1.12404466,,,-0.47272132,,
1955,,,2,,2,1,1.5,1,,2,,,1,4,,,2,1,0.5,,3,,,1.8125,1.16834116,,,0.243838715,,
1954,,,3,,1,2,1.5,3,,1,,,3,3,,,3,1,1,,1,,,1.625,1.29791371,,,0.24019284,,
1953,,,4,,1,1,2,2,,1,,,6,3,,,2,1,1,,2,,,1.5,1.37284193,,,1.187764583,,
1952,,,3,,1,3,2,2,,2,,,4,5,,,3,1,1,,1,,,2,1.08054479,1.76652381,1.062509991,0.6294402083,,
1951,,,4,,1,2,1.5,1,,2,,,4,7,,,4,1,1.5,,1.5,,,2.125,1.20178127,,,0.5015112583,,
1950,,,2,,2,4,1.5,2,,2,,,3,2,,,1.5,2,0.5,,2.5,,,2.125,1.00705556,,,0.033813725,0.0854773791,
1949,,,2,,2,5,2,1,,1,,,4,,,,3,2,0.5,,2,,,1.928571429,0.8876258,,,1.38902435,,
1948,,,3,,2,,3,3,,1,,,3,,,,3.5,1,0.4,,2,,,1.566666667,1.12515468,,,-0.2096767758,,
1947,,,4,,3,,2,2,,2,,,3,,,,4,1,0.5,,2,,,1.75,1.05088251,,,0.2250980083,,
1946,,,4,,2,,3,3,,1,,,6,,,,4,1,1.2,,0.5,,,1.45,0.98351942,,,0.271764425,,
1945,,,7,,2,,2,,,2,,,2,,,,5,1,1,,3.5,,,1.9,1.20760094,,,-0.05814398417,,
1944,,,3,,2,,2,,,2,,,5,,,,5,1,0.3,,1,,,1.26,1.034902,,,-0.002626266667,,
1943,,,1,,2,,5,,,1,,,1,,,,1,2,0.8,,2,,,1.56,0.9144011,,,-0.5608738573,,
1942,,,2,,1,,7,,,2,,,4,,,,3,2,0.6,,1,,,1.32,1.19414183,1.7445,1.138476875,-0.0678575,,
1941,,,2,,1,,4,,,1,,,5,,,,2,2,,,1,,,1.25,0.84390483,,,-0.1657483333,,
1940,,,2,,2,,3,,,2,,,5,,,,2,2,,,1,,,1.75,1.13078943,,,-1.309600175,-0.2047600197,
1939,,,4,,2,,2,,,1,,,4,,,,2,3,,,1,,,1.75,1.02421154,,,-0.2787985042,,
1938,,,5,,1,,3,,,2,,,7,,,,7,2,,,1.5,,,1.625,1.3284701,,,0.2729068866,,
1937,,,8,,1,,5,,,1,,,6,,,,6,2,,,1.5,,,1.375,1.2341668,,,0.2661144,,
1936,,,3,,1,,2,,,3,,,9,,,,4,1,,,1,,,1.5,1.30412236,,,-0.4528252483,,
1935,,,4,,3,,3.5,,,2,,,,,,,5,3,,,4,,,3,0.96338331,,,-0.6287255033,,
1934,,,9,,2,,4,,,2,,,,,,,8,2,,,1.5,,,1.875,1.11494671,,,-0.6861771333,,
1933,,,15,,2,,3.5,,,2,,,,,,,12,2,,,2,,,2,1.20532438,,,-0.04638365833,,
1932,,,,,3,,2,,,1,,,,,,,8,2,,,1.5,,,1.875,1.17978434,1.95,1.072667496,0.2288024375,,
1931,,,,,3,,3,,,2,,,,,,,,2,,,2.5,,,2.375,1.06978321,,,0.5870863016,,
1930,,,,,1,,3,,,1,,,,,,,,3,,,1.5,,,1.625,0.85146279,,,0.1827053383,-0.4647044494,
1929,,,,,3,,5,,,1.5,,,,,,,,2,,,1.5,,,2,1.06744718,,,-0.3355576667,,
1928,,,,,1,,5,,,1.5,,,,,,,,2,,,2.2,,,1.675,1.04908112,,,-0.3047960917,,
1927,,,,,5,,6,,,2,,,,,,,,1,,,1.8,,,2.45,1.20482153,,,-0.3298281333,,
1926,,,,,1,,3.5,,,2,,,,,,,,1,,,1.5,,,1.375,1.03974962,,,-1.592025183,,
1925,,,,,1,,7.5,,,2,,,,,,,,1,,,1.5,,,1.375,1.08454437,,,-0.38596995,,
1924,,,,,2,,4,,,2,,,,,,,,1,,,3,,,2,0.952609543,,,-1.152890517,,
1923,,,,,1,,2,,,5,,,,,,,,1,,,4,,,2.75,1.13616231,,,-0.998962975,,
1922,,,,,2,,4,,,2,,,,,,,,1,,,1.5,,,1.625,1.16389644,1.745833333,1.100277295,-0.2661250133,,
1921,,,,,2,,6,,,2,,,,,,,,1,,,1.5,,,1.625,1.07299905,,,0.5364056975,,
1920,,,,,3,,7,,,1,,,,,,,,2,,,0.5,,,1.625,1.33229885,,,-0.925421095,-0.6982158708,
1919,,,,,4,,3,,,2,,,,,,,,1,,,1,,,2,1.19844116,,,-0.2953401583,,
1918,,,,,1,,4,,,1,,,,,,,,1,,,2,,,1.25,1.00141418,,,-0.957040375,,
1917,,,,,4,,3,,,2,,,,,,,,1,,,3.5,,,2.625,1.0189599,,,-1.912044033,,
1916,,,,,1,,4,,,2,,,,,,,,1,,,1.5,,,1.375,1.08691613,,,-1.090240816,,
1915,,,,,5,,3,,,1,,,,,,,,1,,,1,,,2,1.117931532,,,-0.27433353,,
1914,,,,,,,2,,,2,,,,,,,,1,,,1,,,1.333333333,0.95774266,,,-1.04498105,,
1913,,,,,,,5,,,2,,,,,,,,2,,,2,,,2,1.07997125,,,0.5629195575,,
1912,,,,,,,1.5,,,1,,,,,,,,2,,,1.5,,,1.5,1.07247909,1.7,1.055088753,-0.7831300575,,
1911,,,,,,,0.5,,,1,,,,,,,,2,,,1.5,,,1.5,1.02845165,,,-0.26254715,,
1910,,,,,,,2,,,4,,,,,,,,2,,,3,,,3,0.92937525,,,-0.4316657417,-0.8236409381,
1909,,,,,,,3,,,1,,,,,,,,1,,,2,,,1.333333333,1.05605392,,,-0.6169048667,,
1908,,,,,,,2,,,3,,,,,,,,1,,,2.5,,,2.166666667,0.93709889,,,-0.1340182083,,
1907,,,,,,,4,,,2,,,,,,,,1,,,0.5,,,1.166666667,1.10818724,,,-1.524169789,,
1906,,,,,,,6,,,3,,,,,,,,1,,,0.5,,,1.5,1.07276051,,,-0.3036821375,,
1905,,,,,,,5,,,1,,,,,,,,1,,,2,,,1.333333333,0.95325055,,,-1.170461503,,
1904,,,,,,,,,,3,,,,,,,,1,,,1.5,,,1.833333333,1.05885864,,,-1.904324708,,
1903,,,,,,,,,,3,,,,,,,,1,,,1,,,1.666666667,1.17670573,,,-0.6662965683,,
1902,,,,,,,,,,1,,,,,,,,1,,,2,,,1.333333333,1.21275481,1.316666667,1.28436176,-0.6341024942,,
1901,,,,,,,,,,1,,,,,,,,1,,,1.5,,,1.166666667,1.35596871,,,-0.8507833642,,
1900,,,,,,,,,,1,,,,,,,,1,,,1.5,,,1.166666667,,,,-0.0006963091667,-0.5196924852,
1899,,,,,,,,,,2,,,,,,,,1,,,,,,1.5,,,,-0.3771608708,,
1898,,,,,,,,,,2.5,,,,,,,,0.5,,,,,,1.5,,,,-0.04184349167,,
1897,,,,,,,,,,1.5,,,,,,,,0.5,,,,,,1,,,,-0.4830579167,,
1896,,,,,,,,,,3,,,,,,,,0.5,,,,,,1.75,,,,-0.6937816417,,
1895,,,,,,,,,,2.5,,,,,,,,0.5,,,,,,1.5,,,,-0.781890875,,
1894,,,,,,,,,,2.5,,,,,,,,0.5,,,,,,1.5,,,,-0.1471610367,,
1893,,,,,,,,,,1,,,,,,,,0.5,,,,,,0.75,,,,-1.515735208,,
1892,,,,,,,,,,2,,,,,,,,2,,,,,,2,,2.25,,-0.856236335,,
1891,,,,,,,,,,4,,,,,,,,1,,,,,,2.5,,,,-0.2993611667,,
1890,,,,,,,,,,1,,,,,,,,2,,,,,,1.5,,,,-0.6373542667,-1.070523989,
,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,-0.1799141083,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.925028104,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9572557167,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.087309325,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.621064073,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7647020833,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.718723083,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.069992475,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7438966583,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2217819167,-1.105295212,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11791185,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.169645075,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5656164752,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.086328174,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.433622242,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.415386325,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.735832725,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.321099167,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9857281683,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02480905083,-1.055638632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.209808083,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.020451117,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.479033261,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.168138067,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5930823683,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8565565767,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9755091833,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2462178,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.032398917,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.069343879,-1.246519999,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.306293758,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.368380723,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.120560988,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.072143633,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.046341933,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7974025312,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8430455975,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.590245858,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.251441085,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.373906225,-1.373906225,